Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
m,03/12/1990,86,gujarat state board,2008,64,state board,2,B.Tech/B.E.,information technology,61.17,0,Gujarat,2013,665,545,415,0.911395278,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554,250000
m,18/07/1989,74,cbse,2006,64,state board,2,B.Tech/B.E.,information technology,76,0,Uttar Pradesh,2011,510,400,324,-1,-1,-1,-1,-1,-1,-1,-1,0.5591,-0.4536,1.0859,-2.0092,-0.6692,215000
m,10/11/1991,74,cbse,2008,68,cbse,2,B.Tech/B.E.,computer engineering,69.15,0,Haryana,2012,485,580,530,0.670743151,455,-1,-1,-1,-1,-1,-1,0.1282,1.0449,0.4711,-0.6147,-0.0943,180000
m,05/10/1990,81.86,0,2008,67.74,0,2,B.Tech/B.E.,electronics & telecommunications,72.22,0,Maharashtra,2012,445,435,575,0.538386893,505,333,-1,-1,-1,260,-1,0.3555,0.6568,0.2366,1.1199,-0.0506,350000
m,27/12/1990,78.4,cbse,2008,83,cbse,1,B.Tech/B.E.,computer science & engineering,77,1,Delhi,2012,375,595,585,0.994050872,675,-1,-1,-1,-1,-1,-1,-0.5332,-0.2793,-0.7794,1.4136,-0.6035,550000
m,20/12/1990,72.3,ssc,2008,82.6,intermediate,2,B.Tech/B.E.,information technology,60.45,0,Andhra Pradesh,2012,435,445,544,0.308400583,355,-1,-1,-1,-1,-1,-1,0.2009,-0.3183,0.0552,-0.40777,0.1864,295000
m,16/12/1991,83,state board,2009,55,state board,2,B.Tech/B.E.,computer science & engineering,66.31,1,Karnataka,2013,525,485,355,0.622642916,535,-1,407,-1,-1,-1,-1,-1.308,-0.4536,-1.0659,-0.2344,-0.8608,320000
m,02/05/1992,62.15,state board,2009,63,state board,2,B.Tech/B.E.,information technology,62.4,0,Maharashtra,2013,440,420,500,0.525922584,415,-1,-1,-1,-1,-1,-1,1.1336,0.3789,0.3174,-0.3612,0.0973,105000
f,05/07/1989,67.12,wbbse,2008,56.8,wbbhse,2,B.Tech/B.E.,electronics and communication engineering,72.8,1,West Bengal,2013,440,410,135,0.253028371,-1,-1,-1,-1,-1,286,-1,0.7027,0.8784,0.3174,-0.1076,1.0554,80000
f,25/03/1988,87,0,2005,80,0,2,B.Tech/B.E.,information technology,70,1,Rajasthan,2011,545,495,555,0.864685413,525,-1,-1,-1,-1,-1,-1,-1.1901,-0.1232,-1.5051,0.7673,0.1864,470000
f,19/05/1991,75,0,2008,91.2,0,2,B.Tech/B.E.,computer engineering,72,0,Andhra Pradesh,2012,315,395,415,0.670743151,455,-1,-1,-1,-1,-1,-1,-0.5719,0.0328,-0.8157,0.2973,-0.2875,155000
m,04/09/1991,71.5,cbse,2009,68,cbse,2,B.Tech/B.E.,computer science & engineering,69,0,Uttar Pradesh,2013,450,620,430,0.486747008,405,-1,376,-1,-1,-1,-1,-1.8825,0.5454,0.4711,2.6814,-1.0524,180000
m,26/10/1989,77.6,cbse,2007,77.8,cbse,2,B.Tech/B.E.,computer engineering,72,0,Uttar Pradesh,2012,555,620,750,0.884122512,535,-1,-1,-1,-1,-1,-1,-0.0696,1.2808,-0.1988,-0.2609,0.3444,180000
m,12/08/1992,74,state board,2008,71,state board,2,B.Tech/B.E.,computer engineering,59.6,1,Maharashtra,2014,465,650,655,0.978799293,605,-1,561,-1,-1,-1,-1,-1.7389,0.0459,0.7785,-1.7556,1.0554,315000
m,03/06/1989,77,state board - west bengal board of secondary education : wbbse,2008,74,state board - west bengal council of higher secondary education : wbchse,2,B.Tech/B.E.,computer science & engineering,82,0,West Bengal,2013,560,425,510,0.744758354,435,-1,438,-1,-1,-1,-1,0.2718,-0.1206,-1.3733,-0.7415,-0.0943,300000
m,26/07/1987,62,cbse,2005,61,cbse,1,M.Tech./M.E.,computer science & engineering,72,0,Punjab,2012,575,575,404,0.486747008,495,-1,376,-1,-1,-1,-1,0.99,0.8784,0.7785,-0.7415,0.2889,360000
f,02/01/1992,75,cbse,2009,73,cbse,2,B.Tech/B.E.,electronics and electrical engineering,65,0,Orissa,2013,360,415,255,-1,-1,-1,-1,-1,-1,-1,-1,1.2772,-0.1206,-1.3733,-0.4879,0.8637,80000
m,15/07/1990,66,state board,2007,68,state board,2,B.Tech/B.E.,mechanical engineering,69.7,0,Uttarakhand,2013,545,560,400,0.130441736,-1,-1,-1,286,-1,-1,-1,-1.2287,-0.9033,-0.1988,2.4712,0.3444,180000
f,28/08/1988,91.84,karnataka secondary education examination board,2006,78,department of pre-university education,2,B.Tech/B.E.,computer engineering,66.11,1,Karnataka,2010,535,565,445,0.843123727,515,-1,-1,-1,-1,-1,-1,0.3555,0.6568,0.8171,-1.8179,-0.2875,335000
m,13/02/1991,87,cbse,2009,70,cbse,2,B.Tech/B.E.,information technology,62,0,Haryana,2013,710,555,570,0.622642916,575,-1,407,-1,-1,-1,-1,-0.5899,-0.7866,-0.9122,0.2727,-0.4776,300000
m,03/04/1988,73.2,cbse,2005,60.8,cbse,2,MCA,computer application,67,0,Uttarakhand,2011,425,445,435,0.704090412,465,-1,-1,-1,-1,-1,-1,-1.6538,-1.2153,-2.2308,0.7673,0.6603,80000
m,03/09/1992,70.6,cbse,2010,78.67,state board,2,B.Tech/B.E.,electronics and communication engineering,75.84,1,Karnataka,2014,580,485,510,0.053160305,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608,300000
m,13/08/1991,87.2,state board,2009,71.67,state board,2,B.Tech/B.E.,information science engineering,74.55,0,Karnataka,2013,325,470,470,0.356536488,505,-1,346,-1,-1,-1,-1,1.7081,1.3779,1.3933,-0.2344,1.6302,180000
m,19/09/1992,68.6,bseb,2009,69.4,bseb,2,B.Tech/B.E.,electronics and communication engineering,78,0,West Bengal,2013,430,495,575,0.0587928,495,200,-1,-1,-1,-1,-1,-1.0208,-0.7866,-2.2954,-0.3612,0.6721,300000
m,14/09/1989,56.16,state board,2006,54.08,state board,2,B.Tech/B.E.,electronics and communication engineering,61.28,0,Uttar Pradesh,2012,465,495,355,0.649389715,355,356,-1,-1,-1,-1,356,0.7027,0.3789,0.4711,0.7798,-0.2859,200000
m,21/03/1990,87,cbse,2008,73,cbse,2,B.Tech/B.E.,information technology,75,0,Orissa,2012,685,395,464,0.563267824,425,-1,-1,-1,-1,-1,-1,-1.3447,0.0328,-0.4891,0.2973,0.0284,325000
m,05/06/1990,58,state board,2007,66.4,state board,2,B.Tech/B.E.,electronics and communication engineering,66,0,Uttarakhand,2012,335,455,595,-1,305,-1,-1,-1,-1,-1,-1,0.8479,0.9028,-0.4899,-0.8177,0.7906,370000
m,01/01/1992,91,cbse,2009,83.6,cbse,2,B.Tech/B.E.,computer science & engineering,76.2,0,Uttar Pradesh,2014,615,560,695,0.704090412,465,-1,-1,-1,-1,-1,-1,0.7027,-0.9531,-0.6048,-0.995,-1.244,350000
f,26/04/1989,68,0,2007,65,0,2,B.Tech/B.E.,information technology,74,0,Orissa,2011,535,445,525,0.3423149,365,-1,-1,-1,-1,-1,-1,-0.4173,0.3448,0.672,1.5899,-0.1295,500000
m,09/09/1990,70.2,cbse,2008,63.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,65.88,0,Uttar Pradesh,2013,465,545,390,0.20739217,-1,260,-1,-1,-1,324,-1,1.2772,1.0449,1.7007,0.5262,0.6721,200000
m,20/05/1990,66.85,state board,2008,59.11,state board,2,B.Tech/B.E.,information technology,82.1,1,West Bengal,2013,520,660,620,0.793580615,495,-1,-1,-1,-1,-1,-1,0.2718,-0.1206,-1.2196,-0.3612,-0.6692,335000
m,30/09/1989,82.67,ssc,2008,90.1,board of intermediate education,2,B.Tech/B.E.,electronics and communication engineering,76.56,1,Telangana,2012,415,435,595,0.694479328,425,366,-1,-1,-1,233,-1,1.1283,1.4368,1.1074,0.0623,0.7788,410000
m,21/06/1990,86,cbse,2009,87,cbse,2,B.Tech/B.E.,electronics and electrical engineering,67.77,0,Jharkhand,2014,485,605,665,0.938399137,455,-1,-1,-1,553,-1,-1,1.7081,1.2114,1.547,-0.7415,0.8637,450000
f,14/09/1990,56.78,rajasthan board,2007,48.34,rajasthan board,2,B.Tech/B.E.,information technology,66.34,0,Rajasthan,2011,335,454,525,0.190153406,315,-1,-1,-1,-1,-1,-1,-0.5719,0.0328,-0.1988,-1.1128,0.6603,200000
m,14/12/1989,77.8,icse,2008,60.6,cbse,2,B.Tech/B.E.,computer science & engineering,62.9,0,Karnataka,2013,640,650,500,0.864685413,525,-1,-1,-1,-1,-1,-1,0.5591,1.3779,0.01,-1.2486,-0.4776,120000
f,18/04/1991,84.4,state board,2009,79.8,state board,2,B.Tech/B.E.,electronics and communication engineering,75.15,0,Madhya Pradesh,2013,440,530,450,-1,-1,-1,-1,-1,-1,-1,-1,0.1282,0.2124,-0.1437,0.1459,0.4805,105000
m,13/10/1992,64,state board,2009,77,state board,2,B.Tech/B.E.,electronics and communication engineering,66,0,Uttar Pradesh,2014,405,470,500,0.991792428,-1,-1,-1,-1,-1,516,-1,-1.0208,-1.4526,0.6248,-0.995,0.0973,240000
m,15/02/1992,68.33,state board,2010,82.4,state board,2,B.Tech/B.E.,electronics and communication engineering,69.4,1,Telangana,2014,525,545,475,0.649389715,295,356,-1,-1,-1,292,-1,0.8463,0.8784,-0.6048,0.9066,0.4805,120000
m,03/06/1992,78.2,state board,2008,84.5,icse,2,B.Tech/B.E.,other,72.3,0,Uttar Pradesh,2013,650,580,545,-1,435,-1,-1,-1,-1,-1,-1,-0.159,0.3789,-1.0659,-0.8682,-0.0943,300000
m,28/04/1991,75,cbse,2009,70,cbse,2,B.Tech/B.E.,computer science & engineering,65,1,Rajasthan,2014,640,565,465,0.622642916,525,-1,407,-1,-1,-1,-1,-0.0154,0.3789,1.2396,0.5262,0.6721,315000
m,26/11/1990,69,state board,2009,81.4,state board,2,B.Tech/B.E.,computer engineering,69.68,0,Madhya Pradesh,2013,425,515,565,0.622642916,525,-1,407,-1,-1,-1,-1,-1.2287,0.3448,0.3817,0.53233,-0.6035,180000
f,05/08/1992,89,state board,2009,95,state board,2,B.Tech/B.E.,computer science & engineering,83.66,1,Telangana,2013,430,485,620,0.864685413,525,-1,-1,-1,-1,-1,-1,-0.4463,-0.9531,0.01,0.3995,-0.6692,300000
m,13/08/1991,80,cbse,2009,70,cbse,2,B.Tech/B.E.,electronics and communication engineering,71,0,Uttar Pradesh,2013,520,510,385,0.124502074,-1,233,-1,-1,-1,-1,-1,-3.4624,-5.7816,-4.6009,-0.3612,-6.9925,420000
f,16/08/1989,86,0,2007,75.2,0,2,B.Tech/B.E.,information technology,76.6,0,Punjab,2011,455,435,565,0.864685413,525,-1,-1,-1,-1,-1,-1,-2.5811,0.0328,0.3817,0.4148,-1.0774,35000
m,20/10/1991,89,state board,2009,92.5,state board,2,B.Tech/B.E.,computer science & engineering,87.9,0,Andhra Pradesh,2013,485,525,665,0.670743151,455,-1,-1,-1,-1,-1,-1,0.5591,1.3779,0.6248,-0.7415,-0.2859,300000
f,14/03/1992,78.61,0,2009,76.33,0,2,B.Tech/B.E.,information technology,63,0,Maharashtra,2013,485,475,445,0.81941653,505,-1,-1,-1,-1,-1,-1,-1.4992,-0.5523,1.1437,-0.6428,0.1864,400000
m,13/08/1993,86,state board,2010,92,state board,2,B.Tech/B.E.,electronics and communication engineering,72,0,Andhra Pradesh,2014,350,590,570,0.493596387,415,324,-1,-1,-1,-1,-1,0.8463,0.0459,-0.2974,-0.7415,-0.4776,320000
m,27/12/1992,82,state board,2010,88,state board,2,B.Tech/B.E.,electronics and communication engineering,75.02,1,Telangana,2014,660,470,355,0.20739217,395,260,-1,-1,-1,-1,-1,1.4208,1.2114,0.3174,-0.995,0.4805,270000
f,20/03/1991,94.4,cbse,2008,86.8,cbse,2,B.Tech/B.E.,electrical engineering,90.3,0,Orissa,2013,640,495,620,0.991386933,-1,-1,-1,-1,633,-1,-1,-0.4463,0.2124,-1.0659,-0.3612,-0.2859,350000
m,23/04/1988,78.4,kseb,2005,57.8,"pu board ,karnataka",2,MCA,computer application,75.89,1,Karnataka,2011,435,394,324,0.670743151,455,-1,-1,-1,-1,-1,-1,0.6646,-1.0593,-1.0697,0.8848,0.1864,200000
m,27/05/1989,86.6,0,2007,69.6,0,2,B.Tech/B.E.,computer engineering,72,0,Rajasthan,2011,675,525,525,0.600057182,435,-1,-1,-1,-1,-1,-1,0.3555,0.9688,0.0914,-0.8778,-0.7615,2600000
m,05/10/1989,67.6,cgbse,2007,50,cgbse,2,B.Tech/B.E.,information technology,65,0,Chhattisgarh,2011,445,495,325,0.488347977,405,-1,-1,-1,-1,-1,-1,0.3555,-0.1232,-0.9245,-0.4078,0.8183,145000
m,16/08/1991,79.5,state board,2008,71.08,state board,2,B.Tech/B.E.,computer science & engineering,65.68,0,Rajasthan,2012,395,535,515,0.356536488,535,-1,346,-1,-1,-1,-1,-0.0154,0.5454,0.9322,1.2869,0.2889,210000
m,12/11/1989,60,uttarakhand board,2005,53,uttarakhand board,2,MCA,computer application,70,0,Uttarakhand,2013,605,485,575,0.81941653,505,-1,-1,-1,-1,-1,-1,1.1336,0.5454,-0.2974,-0.7415,0.2889,180000
m,04/04/1992,78,cbse,2010,68.5,cbse,2,B.Tech/B.E.,electronics and communication engineering,69,0,Himachal Pradesh,2014,630,505,595,0.649389715,305,356,-1,-1,-1,-1,-1,-0.8772,-1.1196,0.01,-1.5021,-2.7769,300000
m,20/05/1991,76,cbse,2009,72,cbse,2,B.Tech/B.E.,electronics and communication engineering,67.8,1,Karnataka,2013,590,525,635,0.493596387,465,324,-1,-1,-1,313,-1,0.99,0.7119,1.2396,-1.5021,1.0554,405000
f,05/06/1992,84,icse,2009,87.83,icse,2,B.Tech/B.E.,information technology,74,1,Delhi,2014,580,525,470,0.635978756,445,-1,-1,-1,-1,-1,-1,1.2772,0.8784,0.1637,-1.2486,-0.2859,100000
m,05/04/1992,58.6,ssc,2010,60.4,sbtet,2,B.Tech/B.E.,mechanical engineering,72.8,1,Telangana,2013,380,340,310,0.414337426,-1,-1,-1,366,-1,-1,-1,-1.9629,0.2668,0.4906,-0.0552,-1.0774,200000
m,25/07/1991,83.89,cbse,2009,67,cbse,2,B.Tech/B.E.,electronics and communication engineering,80.07,0,Punjab,2014,440,590,585,0.436962648,405,-1,-1,-1,-1,324,-1,1.9953,0.0459,0.7785,-2.136,0.4805,200000
f,17/02/1993,78.67,state board,2010,76,state board,2,B.Tech/B.E.,information technology,72.14,0,Uttar Pradesh,2014,395,470,430,0.998876108,415,-1,653,-1,-1,-1,-1,-0.0154,0.5454,0.9322,0.2727,-0.2859,110000
m,29/06/1992,89.12,state board,2010,57.5,state board,2,B.Tech/B.E.,mechanical engineering,70,0,Karnataka,2014,380,620,520,0.8295846,-1,-1,-1,469,-1,-1,-1,1.1336,0.5454,-0.9122,-0.8682,-0.2859,120000
f,02/12/1993,85,state board,2011,70,state board,2,B.Tech/B.E.,computer science & engineering,73,0,Tamil Nadu,2015,370,370,285,0.356536488,105,-1,346,-1,-1,-1,-1,-1.1644,-1.7856,-0.7585,0.9066,-2.5853,1025000
m,24/02/1991,82,state board,2009,83,state board,2,B.Tech/B.E.,computer science & engineering,81,1,West Bengal,2013,605,495,520,-1,-1,-1,-1,-1,-1,-1,-1,-2.8879,-2.4516,0.01,-0.2344,-1.0524,240000
m,30/04/1990,91,sslc,2008,91,hse,2,B.Tech/B.E.,automobile/automotive engineering,79,0,Kerala,2012,415,495,464,0.840840969,-1,-1,-1,473,-1,-1,-1,-0.4173,0.5008,-0.0537,0.29733,-0.5245,400000
m,10/07/1993,67.3,icse,2010,63.7,icse,2,B.Tech/B.E.,civil engineering,75.22,0,Uttar Pradesh,2014,415,510,415,0.016564636,345,-1,-1,-1,-1,-1,166,1.1336,0.3789,0.1637,0.653,0.6721,180000
f,27/12/1990,55,cbse,2008,62.2,cbse,2,MCA,computer application,77,0,Uttar Pradesh,2014,430,445,295,0.953899775,425,-1,530,-1,-1,-1,-1,0.4155,-0.6201,-1.0659,0.0192,-2.0105,200000
m,27/11/1989,77.8,cbse,2007,79.6,cbse,1,B.Tech/B.E.,information technology,70.12,1,Delhi,2011,535,445,465,0.735795709,475,-1,-1,-1,-1,-1,-1,-1.0355,0.3448,0.8171,0.6498,-0.4455,340000
m,11/12/1991,91.4,icse,2010,73,cbse,1,B.Tech/B.E.,information technology,71,0,Uttar Pradesh,2014,555,560,825,0.23780284,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359,350000
m,31/07/1991,73,cbse,2009,59,state board,2,B.Tech/B.E.,computer science & engineering,59,0,Uttar Pradesh,2014,420,385,400,0.356536488,355,-1,346,-1,-1,-1,-1,-2.457,-0.7866,-2.1418,-1.2486,-1.6273,105000
m,05/04/1989,89,"sri kannika parameswari highier secondary school, udumalpet",2006,59,"sri kannika parameswari highier secondary school, udumalpet",2,B.Tech/B.E.,electronics and communication engineering,65.6,0,Tamil Nadu,2010,305,365,485,0.229481755,345,266,-1,-1,-1,-1,-1,0.8192,0.3448,-0.0537,-0.4078,0.8183,480000
m,09/01/1994,73.6,cbse,2010,82.8,cbse,2,B.Tech/B.E.,computer science & engineering,74.8,0,Uttarakhand,2014,430,495,535,0.670743151,455,-1,-1,-1,-1,-1,-1,0.5591,0.5454,0.01,0.1459,-1.4356,200000
f,28/12/1992,88,state board,2010,67.68,state board,2,B.Tech/B.E.,electronics and communication engineering,75,1,Karnataka,2014,605,590,430,0.338786347,-1,292,-1,-1,-1,516,-1,1.2772,-0.2871,-0.9122,1.1601,0.4805,200000
m,28/01/1992,76,state board,2008,64,state board,2,B.Tech/B.E.,computer science & engineering,68,0,Rajasthan,2013,490,470,390,0.600057182,435,-1,-1,-1,-1,-1,-1,0.8463,0.3789,0.4711,0.0192,1.4386,210000
m,27/04/1992,91.5,ssc,2009,88.5,board of intermediate education,2,B.Tech/B.E.,electronics and communication engineering,67.3,0,Andhra Pradesh,2013,430,495,720,0.338786347,365,292,-1,-1,-1,-1,-1,-1.1644,-1.6191,-0.7585,-0.6147,-2.3937,365000
m,19/11/1990,56,0,2007,75,0,2,M.Tech./M.E.,computer engineering,70.65,0,Uttar Pradesh,2014,435,305,345,0.276047228,345,-1,-1,-1,-1,-1,-1,-0.881,1.5928,0.0914,0.8848,0.9763,240000
m,27/12/1990,68.3,state board,2008,81.3,state board,2,B.Tech/B.E.,electronics & telecommunications,76,0,Madhya Pradesh,2013,385,435,570,0.943272158,-1,452,-1,-1,-1,-1,-1,0.1282,-0.1206,-0.9122,0.0192,0.0973,175000
m,04/10/1989,85.4,cbse,2007,85,cbse,2,B.Tech/B.E.,electronics and communication engineering,70.06,0,Madhya Pradesh,2012,695,610,780,0.960603252,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637,500000
m,05/01/1989,84.2,0,2006,87.4,0,2,B.Tech/B.E.,electronics and electrical engineering,77,0,Tamil Nadu,2010,305,435,295,0.229481755,445,266,-1,-1,-1,-1,-1,0.8192,0.5008,0.8171,-0.6428,-0.1295,570000
m,20/07/1987,78.2,cbse,2005,72.6,cbse,2,B.Tech/B.E.,computer engineering,77,0,Orissa,2010,575,455,545,0.635978756,445,333,-1,-1,-1,-1,-1,-0.881,0.5008,0.0914,0.1798,-0.1295,680000
m,15/02/1993,88,state board,2010,90,state board,2,B.Tech/B.E.,electronics and computer engineering,73.14,0,Andhra Pradesh,2014,500,495,665,0.991230625,535,-1,592,-1,-1,-1,-1,-0.159,0.2124,0.4711,1.0333,1.4386,300000
m,13/02/1991,66,maharashtra satate board,2009,65,maharashtra satate board,2,B.Tech/B.E.,electronics & telecommunications,57,0,Maharashtra,2013,250,425,415,0.538386893,345,333,-1,-1,-1,286,-1,-0.5719,-1.3713,-0.8157,-0.5253,-1.8673,180000
m,09/10/1992,73,cbse,2009,62.12,cbse,2,B.Tech/B.E.,computer science & engineering,53,1,Karnataka,2014,500,460,510,0.622642916,-1,-1,407,-1,-1,-1,-1,-2.1698,-0.1206,-0.2974,-0.1076,0.0973,200000
m,28/02/1991,88,kerala state technical education,2008,89.66,kerala state hse board,2,B.Tech/B.E.,electronics and communication engineering,76.4,0,Kerala,2012,510,640,635,0.124502074,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455,200000
m,21/06/1989,79,cbse,2006,69.6,cbse,2,B.Tech/B.E.,computer engineering,72,1,Rajasthan,2011,475,515,545,0.600057182,435,-1,-1,-1,-1,-1,-1,-0.5719,-0.5913,-1.5051,-1.4653,-1.5513,435000
m,22/08/1992,80.33,cbse,2010,66.2,cbse,2,B.Tech/B.E.,information technology,67.6,0,Haryana,2014,395,520,500,0.23780284,495,-1,315,-1,-1,-1,-1,0.4155,0.7119,0.7785,0.0192,0.2889,240000
m,03/07/1991,50,icse,2009,56,state board,2,B.Tech/B.E.,electronics and communication engineering,62.15,1,Telangana,2013,405,330,210,0.376059587,305,300,253,-1,-1,286,-1,-0.159,-0.1206,0.3174,0.0192,0.2889,190000
f,02/08/1989,90.83,ssc,2008,95.1,intermediate,2,B.Tech/B.E.,civil engineering,84.01,0,Andhra Pradesh,2012,525,455,605,0.962217011,-1,-1,-1,366,-1,-1,500,-0.7651,-0.4353,-1.6502,1.3255,-0.4455,300000
f,10/02/1990,85,ssc,2007,92.3,ipe,2,B.Tech/B.E.,electronics and communication engineering,67.56,0,Andhra Pradesh,2011,525,575,525,0.694479328,375,366,-1,-1,-1,-1,-1,0.2009,0.3448,-0.4891,0.2973,0.1864,360000
m,30/09/1990,86.09,matriculation board,2008,71.08,state board,2,B.Tech/B.E.,electronics and communication engineering,82.19,0,Tamil Nadu,2012,455,495,435,0.124502074,-1,233,-1,-1,-1,286,-1,-0.7264,0.1888,0.3817,1.1199,0.4234,275000
f,17/08/1990,86.4,cbse,2008,83.2,cbse,2,B.Tech/B.E.,electronics & telecommunications,74.25,0,Chhattisgarh,2012,615,605,680,0.943272158,-1,452,407,-1,-1,-1,-1,-1.0208,-0.2871,-0.2974,1.4136,0.8637,230000
m,16/06/1992,84,cbse,2010,77.4,cbse,2,B.Tech/B.E.,electronics and instrumentation engineering,72.3,0,Uttar Pradesh,2014,425,445,505,0.88162007,-1,420,-1,-1,-1,-1,-1,1.2828,0.1888,-1.3599,2.0599,-0.2875,200000
m,30/06/1993,85.3,state board,2010,88.3,state board,2,B.Tech/B.E.,computer science & engineering,85,1,Tamil Nadu,2014,370,375,325,0.356536488,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721,300000
m,20/06/1990,82,cbse,2008,81.2,cbse,1,B.Tech/B.E.,computer science & engineering,71.67,1,Delhi,2013,580,640,870,0.622642916,625,-1,407,-1,-1,-1,-1,-0.5899,1.0449,0.3174,-1.2486,0.8637,350000
m,20/10/1991,84.83,cbse,2009,78.43,cbse,1,B.Tech/B.E.,computer science & engineering,70.66,0,Uttar Pradesh,2014,570,540,655,0.952245573,585,-1,-1,-1,-1,-1,-1,0.7027,1.0449,1.547,-1.6289,-0.6692,785000
m,12/07/1990,86,karnataka education board (keeb),2008,84,pu board karnataka,2,B.Tech/B.E.,electronics and communication engineering,81,0,Karnataka,2012,415,475,535,0.229481755,-1,266,-1,-1,-1,-1,-1,1.1283,1.5928,1.3977,1.0024,-1.1169,460000
m,11/11/1989,87.8,0,2007,85.4,0,2,B.Tech/B.E.,electronics and communication engineering,69.3,0,Rajasthan,2011,555,615,715,0.694479328,-1,366,-1,-1,-1,340,-1,0.6646,0.9688,0.9623,-1.1128,0.5024,365000
f,10/11/1993,83.66,state board,2010,89.4,state board,2,B.Tech/B.E.,electronics and communication engineering,74.77,0,Telangana,2014,535,540,485,0.493596387,365,324,-1,-1,-1,-1,-1,0.5591,1.0449,0.01,0.3995,1.0554,200000
f,03/07/1990,74.6,cbse,2008,74.6,cbse,2,B.Tech/B.E.,computer engineering,66,0,Uttar Pradesh,2012,455,345,515,0.3423149,365,-1,-1,-1,-1,-1,-1,0.0464,0.6568,0.0914,1.82493,-0.2875,150000
m,05/07/1992,86,state board,2010,62.6,state board,2,B.Tech/B.E.,electronics and communication engineering,65.12,0,Gujarat,2014,500,450,400,0.493596387,-1,324,-1,-1,-1,-1,-1,0.4155,0.2124,1.2396,-1.2486,-0.0943,300000
m,04/11/1991,74,cbse,2008,79.8,cbse,2,B.Tech/B.E.,electronics and electrical engineering,93.3,1,Karnataka,2013,500,560,720,0.758379883,-1,-1,-1,-1,473,-1,-1,-0.3027,0.0459,-1.6807,0.0192,-0.6692,460000
f,15/04/1993,70,cbse,2010,70,cbse,2,B.Tech/B.E.,civil engineering,65,0,Himachal Pradesh,2014,475,455,415,0.679644641,-1,-1,-1,-1,-1,-1,388,-0.0154,1.2114,1.3933,-0.8682,1.6302,110000
f,12/12/1991,72.8,cbse,2009,65.6,cbse,2,B.Tech/B.E.,electronics and electrical engineering,70,0,Orissa,2013,545,470,380,0.112139438,355,228,-1,-1,-1,-1,-1,1.2772,0.7119,0.7785,-1.1218,0.6721,240000
f,06/06/1990,91.8,cbse,2008,89.6,cbse,2,B.Tech/B.E.,electronics and electrical engineering,84.3,1,Tamil Nadu,2012,725,595,605,0.538386893,475,333,-1,-1,-1,-1,-1,-1.2287,1.2808,-1.9405,1.76613,0.1864,305000
m,11/09/1987,62,cbse,2005,62,cbse,2,B.Tech/B.E.,information technology,63,0,Madhya Pradesh,2011,475,395,415,0.190153406,315,-1,-1,-1,-1,-1,-1,0.0464,1.1248,0.0914,-0.8778,-0.1295,350000
m,12/10/1988,71.6,ssc,2006,71,hsc,2,B.Tech/B.E.,electronics and electrical engineering,60.38,1,Maharashtra,2010,465,395,595,0.824666401,415,400,-1,-1,-1,-1,-1,-2.1175,-1.3713,-2.6662,1.4724,0.0284,240000
m,11/01/1993,82.25,state board,2010,76.83,state board,2,B.Tech/B.E.,electronics and electrical engineering,82.5,0,Orissa,2014,545,460,510,0.115022726,-1,292,-1,-1,292,-1,-1,0.99,0.2124,0.3174,0.1459,-0.0943,310000
f,02/07/1993,82.4,icse,2009,69.16,icse,2,B.Tech/B.E.,information technology,84,0,Uttar Pradesh,2014,615,470,470,0.744758354,365,-1,438,-1,-1,-1,-1,0.5591,1.3779,1.2396,-0.995,0.2889,335000
f,25/12/1989,82,cbse,2007,73,cbse,2,B.Tech/B.E.,electrical engineering,63,0,Uttarakhand,2011,485,355,555,-1,-1,-1,-1,-1,-1,-1,-1,0.0464,-0.2793,-0.344,-0.1727,-0.4455,430000
f,07/01/1992,82,state board,2009,83,state board,2,B.Tech/B.E.,electronics and communication engineering,76.3,1,Telangana,2013,275,390,340,0.229481755,214,266,-1,-1,-1,286,-1,0.99,1.2114,0.4711,-0.2344,0.2889,300000
m,10/04/1993,88.66,state board,2010,94.1,state board,2,B.Tech/B.E.,electronics and communication engineering,84.78,0,Andhra Pradesh,2014,545,625,750,-1,475,-1,438,-1,-1,-1,-1,0.8463,0.2124,-0.9122,-2.3895,-1.4356,100000
m,28/07/1991,84.5,state board,2009,74,state board,2,B.Tech/B.E.,electronics and communication engineering,79.8,1,West Bengal,2013,535,590,605,0.338786347,365,292,-1,-1,-1,-1,-1,0.5591,-0.1206,0.6248,0.9066,-0.6692,300000
